
ProductID,ProductName,CategoryID,Price,IsAvailable
1,Strawberry Fruit Spread,77,3.59,false
2,Travel Pillow,85,22.99,false
3,Electric Hot Pot,43,49.99,false
4,Hummus Variety Pack,34,5.99,true
5,Smart Plug,58,19.99,true
6,Electric Can Opener,54,29.99,false
7,Chic Jumpsuit,64,89.99,true
8,Sour Cream,36,3.49,true
9,Folding Exercise Bike,56,199.99,false
10,Spicy Avocado Salsa,73,4.49,false
11,Whole Wheat Pita Bread,57,2.79,false
12,Cranberry Pecan Granola,4,3.99,false
13,Andouille Sausage,18,5.49,false
14,Diced Tomatoes (canned),54,1.49,true
15,Outdoor Portable Fire Pit,25,149.99,false
16,Decorative Throw Blanket,39,39.99,true
17,Tailored Dress Pants,32,79.99,false
18,Decorative LED Neon Sign,15,45.99,true
19,Wireless Music Receiver,3,19.99,true
20,Mango Chutney,64,3.99,true
21,Balsamic Salad Dressing,60,2.99,true
22,Travel Eye Mask with Ear Plugs,84,15.99,false
23,Ginger Turmeric Shots,22,3.99,true
24,Tomato Basil Soup,2,3.49,false
25,Emergency Preparedness Kit,26,99.99,true
26,Tomato Paste,39,1.29,false
27,Self-Stirring Mug,100,19.99,true
28,Wireless Charger Stand,89,24.99,false
29,Organic Granola Cereal,12,5.99,false
30,Board Game Storage,42,19.99,false
31,Portable Electric Fan,62,24.99,false
32,Foldable Yoga Mat,73,29.99,false
33,Peas (frozen),97,1.89,false
34,Deluxe First Aid Kit,52,39.99,false
35,Fire Roasted Salsa,9,2.49,true
36,Rice Pilaf Mix,87,2.59,false
37,Cold Brew Coffee Maker,3,34.99,false
38,Sriracha Chili Sauce,78,2.79,false
39,Raspberry Vanilla Greek Yogurt,42,3.49,false
40,Asian Noodle Salad Kit,55,4.99,false
41,Black Bean Soup,86,3.49,false
42,Yoga Mat,92,25,true
43,Kids' Art Supplies Kit,53,29.99,false
44,Fitness Smartwatch,10,99.99,false
45,Cushion Covers,66,35,true
46,Outdoor Adventure Kit,61,89.99,true
47,Rustic Wooden Picture Frame,96,19.99,false
48,Foot Massager,41,79.99,true
49,Adjustable Kneeling Pad,9,18.99,true
50,Wall Calendar,55,17.99,false
51,Smart LED Light Strip,99,29.99,true
52,Thai Peanut Noodles,2,4.99,true
53,Chocolate Coconut Granola,98,3.79,false
54,Artisan Flatbreads,48,2.99,false
55,Chicken Salad Kit,36,5.99,false
56,Feta Cheese,49,4.99,true
57,Mixed Nuts,100,5.99,true
58,Coconut Macaroons,56,4.99,true
59,Thai Peanut Dressing,70,3.29,true
60,Toasted Coconut Granola,79,4.99,true
61,Portable Laptop Table,69,39.99,false
62,Spicy Thai Coconut Soup,20,3.99,false
63,Kids' Science Experiment Kit,34,29.99,true
64,Kids' Dinosaur-Themed Lunchbox,37,19.99,false
65,Rechargeable Laptop Battery Pack,31,49.99,false
